Rank,Journal Name,Abbreviated Journal,Publisher,JIF,5-Year JIF,JIF Without Self-Cites,JCI,JIF Quartile,Category,ISSN,eISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Rank
21528,Netherlands Journal of Critical Care,NETH J CRIT CARE,NETHERLANDS SOC INTENSIVE CARE,<0.1,0.2,<0.1,0.05,Q4,CRITICAL CARE MEDICINE|Q4|52/54,1569-3511,1569-3511,41,0,0,N/A,N/A,60/62
21528,Pampa,PAMPA,EDICIONES UNL,<0.1,<0.1,<0.1,0.05,Q4,AREA STUDIES|Q3|124/176,1669-3299,2314-0208,22,13,13,N/A,11.2,179/182
21528,Razon Historica-Revista Hispanoamericana de Historia de las Ideas,RAZON HIST,INST POLITICA SOCIAL,<0.1,<0.1,<0.1,0.05,Q4,HISTORY|Q3|327/518,1989-2659,1989-2659,14,33,33,N/A,15.3,479/538
21528,Revista do Curso de Direito do UNIFOR,REV CURSO DIR UNIFOR,FUNDACAO EDUCACIONAL COMUNITARIA FORMIGUENSE,<0.1,<0.1,<0.1,0.05,Q4,LAW|Q4|365/421,2236-7632,2236-7632,5,32,32,N/A,10.4,412/434
21528,Revista Estudios Socio-Juridicos,REV ESTUD SOCIO-JURI,"UNIV ROSARIO, FAC JURISPRUDENCIA",<0.1,0.2,<0.1,0.05,Q4,POLITICAL SCIENCE|Q4|289/317,0124-0579,2145-4531,35,20,20,N/A,10.1,412/434
21528,REVUE D HISTOIRE LITTERAIRE DE LA FRANCE,REV HIST LIT FR,CLASSIQUES GARNIER,<0.1,<0.1,<0.1,0.05,N/A,"LITERATURE, ROMANCE|N/A|N/A",0035-2411,2105-2689,89,47,49,N/A,30.9,N/A
21528,RTH-Research Trends in Humanities Education & Philosophy,RTH-RES TRENDS HUMAN,"UNIV STUDI NAPOLI FEDERICO II, DIPT STUDI UMANISTICI",<0.1,<0.1,<0.1,0.05,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",2284-0184,2284-0184,3,0,0,N/A,N/A,N/A
21528,SCHWEIZERISCHES ARCHIV FUR VOLKSKUNDE,SCHWEIZ ARCH VOLKSKU,G KREBS VERLAGSBUCHHANDLUNG AG,<0.1,<0.1,<0.1,0.05,N/A,FOLKLORE|N/A|N/A,0036-794X,N/A,13,5,5,N/A,13.4,N/A
21528,Slavia-Casopis pro Slovanskou Filologii,SLAVIA,SLOVANSKY USTAV AKAD CESKE REPUBLIKY,<0.1,<0.1,<0.1,0.05,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,0037-6736,0037-6736,41,23,23,N/A,27.1,N/A
21528,Talia Dixit-Revista Interdisciplinar de Retorica e Historiografia,TALIA DIXIT,"UNIV EXTREMADURA, SERVICIO PUBLICACIONES",<0.1,<0.1,<0.1,0.05,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1886-9440,1886-9440,9,11,11,N/A,18.5,N/A
21528,20 Et 21-Revue D Histoire,20 21 REV HIST,PRESSES SCIENCES PO,<0.1,<0.1,<0.1,0.04,Q4,HISTORY|Q4|450/518,2649-664X,2649-6100,4,28,28,N/A,20.1,479/538
21528,AKTUELLE DERMATOLOGIE,AKTUEL DERMATOL,GEORG THIEME VERLAG KG,<0.1,0.1,<0.1,0.04,Q4,DERMATOLOGY|Q4|91/94,0340-2541,1438-938X,135,70,70,13.1,7.7,96/96
21528,Archai-Revista de Estudos Sobre as Origens do Pensamento Ocidental,ARCHAI,UNIV BRASILIA,<0.1,0.1,<0.1,0.04,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1984-249X,1984-249X,38,37,37,N/A,21.4,N/A
21528,ARTS OF ASIA,ART ASIA,ARTS ASIA PUBLICATIONS LTD,<0.1,0.1,<0.1,0.04,N/A,,0004-4083,N/A,29,16,16,N/A,21.0,N/A
21528,Basiliade-Revista de Filosofia,BASILIADE-REV FILOS,Faculdade Sao Basilio Magno - FASBAM,<0.1,N/A,<0.1,0.04,N/A,,N/A,2596-092X,0,7,7,N/A,23.2,N/A
21528,Boletin Antropologico,BOL ANTROPOL,UNIV LOS ANDES,<0.1,0.1,<0.1,0.04,Q4,ANTHROPOLOGY|Q4|131/139,0257-750X,0257-750X,13,15,15,N/A,20.2,139/141
21528,Caietele Echinox,CAIET ECHINOX,"UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES",<0.1,<0.1,<0.1,0.04,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1582-960X,1582-960X,12,53,54,N/A,19.2,N/A
21528,Ciencia Politica,CIENC POLITICA,"UNIV NACL COLOMBIA, FAC DERECHO, CIENCIAS POLITICAS",<0.1,0.3,<0.1,0.04,Q4,POLITICAL SCIENCE|Q4|280/317,1909-230X,2389-7481,78,13,13,N/A,5.8,313/322
21528,Contexto-Revista do Programa de Pos-Graduacao em Letras,CONTEXTO-REV PROG PG,UNIV FEDERAL ESPIRITO SANTO,<0.1,<0.1,<0.1,0.04,N/A,LITERATURE|N/A|N/A,2358-9566,2358-9566,0,24,24,N/A,12.0,N/A
21528,Diasporas-Histoire et Societes,DIASPORAS-HIST SOC,PRESSES UNIV MIDI-PUM,<0.1,<0.1,<0.1,0.04,Q4,HISTORY|Q4|450/518,1637-5823,1637-5823,16,0,0,N/A,N/A,479/538
21528,Histria,HISTRIA,ISTARSKO POVIJESNO DRUSTVO-ISTRIAN HISTORICAL SOC,<0.1,<0.1,<0.1,0.04,Q4,HISTORY|Q4|450/518,1848-1183,1849-5699,8,0,0,N/A,N/A,479/538
21528,IN BO-Ricerche e Progetti per il Territorio la Citta e l Architettura,IN BO,"UNIV BOLOGNA, DEPT ARCHITECTURE",<0.1,0.1,<0.1,0.04,N/A,ARCHITECTURE|N/A|N/A,2036-1602,2036-1602,29,32,32,N/A,20.5,N/A
21528,Intervencion-Revista Internacional de Conservacion Restauracion y Museologia,INTERVENCION-MEXICO,NATL INST ANTHROPOLOGY & HISTORY-INAH,<0.1,0.1,<0.1,0.04,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",2007-249X,2448-5934,11,12,12,N/A,17.3,N/A
21528,Iranica Antiqua,IRAN ANTIQ,PEETERS,<0.1,0.1,<0.1,0.04,N/A,ARCHAEOLOGY|N/A|N/A,0021-0870,1783-1482,94,0,0,N/A,N/A,N/A
21528,Itineraria,ITINERARIA,SISMEL EDIZIONI GALLUZZO,<0.1,<0.1,<0.1,0.04,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1594-1019,1594-1019,6,6,6,N/A,50.5,N/A
21528,Journal of Clinical Sciences,J CLIN SCI,WOLTERS KLUWER MEDKNOW PUBLICATIONS,<0.1,0.1,<0.1,0.04,Q4,"MEDICINE, GENERAL & INTERNAL|Q4|268/325",2468-6859,2408-7408,73,35,41,N/A,9.9,326/332
21528,Journal of Learning Styles,J LEARN STYLES,UTAH VALLEY UNIV,<0.1,0.1,<0.1,0.04,Q4,EDUCATION & EDUCATIONAL RESEARCH|Q4|739/756,2332-8533,2332-8533,16,12,12,N/A,9.8,738/756
21528,Journal of Modern Chinese History,J MOD CHIN HIST,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",<0.1,0.1,<0.1,0.04,Q4,HISTORY|Q4|450/518,1753-5654,1753-5662,35,0,0,N/A,N/A,479/538
21528,LEA-Lingue e Letterature d Oriente e d Occidente,LEA-LINGUE LETT ORIE,FIRENZE UNIV PRESS,<0.1,<0.1,<0.1,0.04,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,1824-4920,1824-484X,18,18,18,N/A,21.1,N/A
21528,Prolegomenos-Derechos y Valores,PROLEGOMENOS,UNIV MILITAR NUEVA GRANADA,<0.1,0.2,<0.1,0.04,Q4,LAW|Q4|365/421,0121-182X,1909-7727,34,16,16,N/A,12.8,412/434
21528,RED-Revista Electronica de Direito,RED-REV ELECTRON DIR,CENTRO INVESTIGACAO JURIDICO-ECONOMICA-CIJE,<0.1,0.1,<0.1,0.04,Q4,LAW|Q4|403/421,2182-9845,2182-9845,7,27,27,N/A,8.7,412/434
21528,Revista Hispanoamericana de Hernia,REV HISPANOAM HERNIA,"ARAN EDICIONES, S L",<0.1,0.1,<0.1,0.04,Q4,SURGERY|Q4|270/290,2255-2677,2255-2677,28,0,0,N/A,N/A,312/312
21528,Revista Kanina,REV KANINA,"UNIV COSTA RICA, EDITORIAL",<0.1,<0.1,<0.1,0.04,N/A,LITERATURE|N/A|N/A,0378-0473,2215-2636,11,31,31,N/A,14.9,N/A
21528,Revista Mad-Revista del Magister en Analisis Sistemico Aplicado a la Sociedad,REV MAD,"UNIV CHILE, FAC CIENCIAS SOCIALES, DEPT ANTROPOLOGIA",<0.1,0.1,<0.1,0.04,Q4,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q3|197/263",0718-0527,0718-0527,32,13,14,N/A,15.1,261/271
21528,REVUE DU NORD,REV NORD,UNIV CHARLES DE GAULLE -LILLE III,<0.1,<0.1,<0.1,0.04,Q4,HISTORY|Q3|327/518,0035-2624,2271-7005,143,28,28,22.5,28.6,479/538
21528,Sophia-Educacion,SOPHIA-EDUC,UNIV LA GRAN COLOMBIA,<0.1,0.2,<0.1,0.04,Q4,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,1794-8932,2346-0806,28,22,24,N/A,6.6,738/756
21528,Strenae-Recherches sur les Livres et les Objets Culturels de L Enfance,STRENAE,"UNIV FRANCOIS-RABELAIS, STRENAE",<0.1,0.1,<0.1,0.04,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",2109-9081,2109-9081,14,12,12,N/A,25.8,N/A
21528,STUDIA MONASTICA,STUD MONASTICA,PUBL ABADIA MONTSERRAT,<0.1,<0.1,<0.1,0.04,N/A,RELIGION|N/A|N/A,0039-3258,N/A,31,0,0,N/A,N/A,N/A
21528,Studia Neoaristotelica-A Journal of Analytical Scholasticism,STUD NEOARISTOTELICA,PHILOSOPHY DOCUMENTATION CENTER,<0.1,<0.1,<0.1,0.04,N/A,PHILOSOPHY|N/A|N/A,1214-8407,1804-6843,2,8,8,N/A,33.6,N/A
21528,TEXT & KRITIK,TEXT KRITIK,EDITION TEXT KRITIK GMBH,<0.1,<0.1,<0.1,0.04,N/A,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN|N/A|N/A",0040-5329,0040-5329,25,0,0,N/A,N/A,N/A
21528,UNIVERSITAS-Monthly Review of Philosophy and Culture,UNIVERSITAS-TAIWAN,UNIVERSITAS,<0.1,<0.1,<0.1,0.04,N/A,PHILOSOPHY|N/A|N/A,1015-8383,N/A,53,118,118,N/A,23.9,N/A
21528,Via Atlantica,VIA ATL,"UNIV SAO PAULO, FAC FILOSOFIA LETRAS & CIENCIAS HUMANAS",<0.1,0.1,<0.1,0.04,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1516-5159,2317-8086,27,23,23,N/A,18.3,N/A
21528,Vichiana,VICHIANA,FABRIZIO SERRA EDITORE,<0.1,N/A,<0.1,0.04,Q4,,0042-5079,2035-262X,16,8,8,N/A,28.0,300/303
21528,Zutot,ZUTOT,BRILL,<0.1,0.1,<0.1,0.04,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1571-7283,1875-0214,35,11,11,N/A,27.4,N/A
21528,Acta Germanica-German studies in Africa,ACTA GER,PETER LANG GMBH,<0.1,<0.1,<0.1,0.03,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,0065-1273,0065-1273,14,10,10,N/A,15.6,N/A
21528,African Journal of Rhetoric,AFR J RHETOR,AFRICAN ASSOC RHETORIC,<0.1,0.1,<0.1,0.03,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,1998-2054,1998-2054,24,12,12,N/A,11.3,N/A
21528,Annals of the Faculty of Law in Belgrade,ANN FAC LAW BELGRADE,"Univ Belgrade, Fac Law",<0.1,N/A,<0.1,0.03,Q4,,0003-2565,2406-2693,12,24,24,N/A,7.8,412/434
21528,Anos 90,ANOS 90,"UNIV FEDERAL RIO GRANDE SUL, PROGRAMA POS-GRADUACAO & HISTORIA",<0.1,<0.1,<0.1,0.03,Q4,HISTORY|Q3|327/518,1983-201X,0104-236X,33,37,37,N/A,18.9,479/538
21528,Anuario Espanol de Derecho Internacional Privado,ANU ESP DERECHO INT,"IPROLEX, S L",<0.1,<0.1,<0.1,0.03,Q4,LAW|Q4|365/421,1578-3138,1578-3138,8,0,0,N/A,N/A,412/434
21528,Artifara-Revista de Lenguas y Literaturas Ibericas y Latinoamericanas,ARTIFARA,"UNIV STUDI TORINO, DIPT STUDI UMANISTICI",<0.1,0.1,<0.1,0.03,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,1594-378X,1594-378X,21,31,31,N/A,19.4,N/A
21528,ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER,ATW-INT J NUCL POWER,INFORUM VERLAGS-VERWALTUNGSGESELLSCHAFT MBH,<0.1,0.1,<0.1,0.03,Q4,NUCLEAR SCIENCE & TECHNOLOGY|Q4|40/40,1431-5254,N/A,60,44,46,N/A,9.9,41/41
21528,Azafea-Revista de Filosofia,AZAFEA,EDICIONES UNIV SALAMANCA,<0.1,N/A,<0.1,0.03,N/A,,0213-3563,2444-7072,2,14,14,N/A,18.3,N/A
21528,Bollettino di Storia delle Scienze Matematiche,B STOR SCI MAT,FABRIZIO SERRA EDITORE,<0.1,0.1,<0.1,0.03,Q4,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q4|132/135",0392-4432,1724-1650,22,3,3,N/A,119.0,109/112
21528,Cadernos de Historia,CAD HIST,PONTIFICIA UNIV CATOLICA MINAS GERAIS,<0.1,<0.1,<0.1,0.03,Q4,HISTORY|Q4|450/518,2237-8871,2237-8871,11,8,8,N/A,16.8,479/538
21528,Cadernos de Letras da UFF,CAD LET UFF,"UNIV FED FLUMINENSE, DEPT HISTORIA",<0.1,<0.1,<0.1,0.03,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,1413-053X,2447-4207,37,28,28,N/A,13.0,N/A
21528,Communio Viatorum,COMMUNIO VIAT,"Charles Univ, Protestant Theological Fac",<0.1,<0.1,<0.1,0.03,N/A,RELIGION|N/A|N/A,0010-3713,N/A,14,10,10,N/A,19.4,N/A
21528,Constelaciones,CONSTELACIONES,FUNDACION UNIV SAN PABLO CEU,<0.1,<0.1,<0.1,0.03,N/A,ARCHITECTURE|N/A|N/A,2340-177X,2531-1360,4,13,13,N/A,19.2,N/A
21528,Constelaciones-Revista de Teoria Critica,CONSTELACIONES-REV T,SOC ESTUDIOS TEORIA CRITICA,<0.1,<0.1,<0.1,0.03,N/A,PHILOSOPHY|N/A|N/A,2172-9506,2172-9506,21,0,0,N/A,N/A,N/A
21528,Cuaderno de Notas,CUAD NOTAS,"UNIV POLITECNICA MADRID, ESCUELA TEC SUP ARQUIT, DEPT COMPOSICION ARQUITECT",<0.1,<0.1,<0.1,0.03,N/A,ARCHITECTURE|N/A|N/A,1138-1590,2386-8376,15,12,12,N/A,49.7,N/A
21528,Cultura-Rivista di Filosofia Letteratura Storia,CULTURA-RIV FILOS LE,SOC ED IL MULINO,<0.1,<0.1,<0.1,0.03,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",0393-1560,2612-2391,3,20,20,N/A,25.1,N/A
21528,DANCE MAGAZINE,DANCE MAG,DANCE MAGAZINE INC,<0.1,0.1,<0.1,0.03,N/A,DANCE|N/A|N/A,0011-6009,N/A,28,32,32,N/A,N/A,N/A
21528,Entrepalavras,ENTREPALAVRAS,FEDERAL UNIV CEARA,<0.1,<0.1,<0.1,0.03,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,2237-6321,2237-6321,23,21,21,N/A,15.3,N/A
21528,Etudes Inuit Studies,ETUDES INUIT STUD,"UNIV LAVAL, FAC SCIENCES SOCIALES",<0.1,0.1,<0.1,0.03,Q4,ANTHROPOLOGY|Q4|139/139,0701-1008,0701-1008,91,0,0,N/A,N/A,139/141
21528,ETUDES THEOLOGIQUES ET RELIGIEUSES,ETUD THEOL RELIG,INST PROTESTANT THEOLOGIE,<0.1,<0.1,<0.1,0.03,N/A,RELIGION|N/A|N/A,0014-2239,N/A,30,32,32,N/A,33.2,N/A
21528,Germanoslavica-Zeitschrift fur Germano-Slawische Studien,GERMANOSLAVICA,SLOVANSKY USTAV AKAD CESKE REPUBLIKY,<0.1,<0.1,<0.1,0.03,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1210-9029,1210-9029,5,3,3,N/A,111.5,N/A
21528,GOYA,GOYA,FUNDACION LAZARO GALDIANO,<0.1,0.1,<0.1,0.03,N/A,ART|N/A|N/A,0017-2715,N/A,99,12,12,N/A,28.8,N/A
21528,Hrvatske Vode,HRVAT VODE,HRVATSKE VODE,<0.1,0.1,<0.1,0.03,Q4,,1330-1144,1330-1144,41,4,4,N/A,10.9,130/131
21528,Implantologie,IMPLANTOLOGIE,QUINTESSENZ VERLAGS-GMBH,<0.1,0.1,<0.1,0.03,Q4,"DENTISTRY, ORAL SURGERY & MEDICINE|Q4|151/157",0943-9692,0943-9692,36,24,25,N/A,8.9,161/162
21528,Infancias Imagenes,INFANC IMAGENES,UNIV DISTRITAL FRANCISCO JOSE CALDAS,<0.1,0.1,<0.1,0.03,Q4,FAMILY STUDIES|Q4|63/66,1657-9089,2665-511X,22,7,7,N/A,10.2,66/66
21528,Journal of Critical & Intensive Care,J CRIT INTENS CARE,Soc Turkish Intensivists - STI,<0.1,0.1,<0.1,0.03,Q4,CRITICAL CARE MEDICINE|Q4|49/54,2717-6428,2717-6428,13,20,21,N/A,6.9,60/62
21528,Journal of Unschooling and Alternative Learning,J UNSCH ALTERN LEARN,NIPISSING UNIV,<0.1,<0.1,<0.1,0.03,Q4,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,1916-8128,1916-8128,12,10,10,N/A,12.2,738/756
21528,Lingue Antiche e Moderne,LINGUE ANTICHE MOD,UNIV STUDI UDINE,<0.1,0.1,<0.1,0.03,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,2281-4841,2281-4841,7,12,12,N/A,21.3,N/A
21528,Linha d Agua,LINHA AGUA,"UNIV SAO PAULO, FAC FILOSOFIA LETRAS & CIENCIAS HUMANAS",<0.1,<0.1,<0.1,0.03,N/A,LANGUAGE & LINGUISTICS|N/A|N/A,0103-3638,2236-4242,40,63,64,N/A,13.9,N/A
21528,Lino - Revista Anual de Historia del Arte,LINO REV ANU HIST AR,UNIV OVIEDO,<0.1,0.1,<0.1,0.03,N/A,ART|N/A|N/A,0211-2574,2341-1139,11,17,17,N/A,22.5,N/A
21528,MUSIK IN BAYERN,MUSIK BAYERN,HANS SCHNEIDER,<0.1,0.1,<0.1,0.03,N/A,MUSIC|N/A|N/A,0937-583X,N/A,7,0,0,N/A,N/A,N/A
21528,Naslede,NASLEDE,"UNIV KRAGUJEVAC, FAC PHILOLOGY & ARTS",<0.1,<0.1,<0.1,0.03,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1820-1768,1820-1768,21,77,77,N/A,22.3,N/A
21528,Nuevo Pensamiento-Revista de Filosofia,NUEVO PENSAM,"UNIV SALVADOR, FAC FILOSOFIA & LETRAS",<0.1,<0.1,<0.1,0.03,N/A,PHILOSOPHY|N/A|N/A,1853-7596,1853-7596,4,18,18,N/A,22.4,N/A
21528,Pediatria i Medycyna Rodzinna-Paediatrics and Family Medicine,PEDIATR MED RODZ,MEDICAL COMMUNICATIONS,<0.1,0.3,<0.1,0.03,Q4,PEDIATRICS|Q4|184/186,1734-1531,2451-0742,166,48,56,4.8,7.7,190/191
21528,Percees-Explorations En Arts Vivants,PERCEES,SOC HISTOIRE THEATRE,<0.1,<0.1,<0.1,0.03,N/A,,N/A,2563-660X,1,31,31,N/A,13.1,N/A
21528,Perspectivas em Dialogo-Revista de Educacao e Sociedade,PERSPECT DIALOGO,UNIV FEDERAL MATO GROSSO SUL,<0.1,0.1,<0.1,0.03,Q4,EDUCATION & EDUCATIONAL RESEARCH|Q4|699/756,2358-1840,2358-1840,21,91,92,N/A,10.8,738/756
21528,Philomusica,PHILOMUSICA,PAVIA UNIV PRESS,<0.1,<0.1,<0.1,0.03,N/A,MUSIC|N/A|N/A,1826-9001,1826-9001,12,0,0,N/A,N/A,N/A
21528,POSTEPY BIOLOGII KOMORKI,POSTEPY BIOL KOMORKI,POLSKIE TOWARZYSTWO ANATOMICZNE,<0.1,0.1,<0.1,0.03,Q4,CELL BIOLOGY|Q4|204/205,0324-833X,2080-2218,43,6,6,N/A,8.2,204/204
21528,Przeglad Sejmowy,PRZEGL SEJMOWY,WYDAWNICTWO SEJMOWE,<0.1,<0.1,<0.1,0.03,Q4,LAW|Q4|403/421,1230-5502,1230-5502,77,41,41,N/A,12.8,412/434
21528,REVELETEO-Revista Electronica Espaco Teologico,REVELETEO-REV ELECTR,"PONTIFICIA UNIV CATOLICA SAO PAULO, FAC TEOLOGIA",<0.1,<0.1,<0.1,0.03,N/A,RELIGION|N/A|N/A,2177-952X,2177-952X,5,7,7,N/A,15.0,N/A
21528,Revista CES Derecho,REV CES DERECHO,UNIV CES,<0.1,0.1,<0.1,0.03,Q4,LAW|Q4|365/421,2145-7719,2145-7719,28,26,26,N/A,9.9,412/434
21528,Revista de Cultura Teologica,REV CULT TEOL,"PONTIFICIA UNIV CATOLICA SAO PAULO, FAC TEOLOGIA",<0.1,<0.1,<0.1,0.03,N/A,RELIGION|N/A|N/A,0104-0529,2317-4307,21,37,37,N/A,15.3,N/A
21528,REVISTA DE OCCIDENTE,REV OCCIDENTE,FUNDACION JOSE ORTEGA Y GASSET,<0.1,<0.1,<0.1,0.03,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",0034-8635,0034-8635,736,95,95,26.6,11.9,N/A
21528,Revista General de Derecho Romano,REV GEN DERECHO ROMA,IUSTEL,<0.1,<0.1,<0.1,0.03,Q4,LAW|Q4|365/421,1697-3046,1697-3046,21,42,43,N/A,25.4,412/434
21528,Revista Numismatica Hecate,REV NUMIS HECATE,REVISTA NUMISMATICA HECATE,<0.1,<0.1,<0.1,0.03,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",2386-8643,2386-8643,8,10,10,N/A,18.8,N/A
21528,REVUE DES MUSEES DE FRANCE-REVUE DU LOUVRE,REV MUS FR-REV LOUVR,CONSEIL MUSEES NATIONAUX,<0.1,<0.1,<0.1,0.03,N/A,ART|N/A|N/A,1962-4271,N/A,14,18,18,N/A,171.2,N/A
21528,RIVISTA DI LETTERATURE MODERNE E COMPARATE,RIV LETT MOD COMP,PACINI EDITORE,<0.1,<0.1,<0.1,0.03,N/A,LITERATURE|N/A|N/A,0391-2108,N/A,8,4,4,N/A,38.0,N/A
21528,Simbiotica,SIMBIOTICA,UNIV FEDERAL ESPIRITO SANTO,<0.1,2.4,<0.1,0.03,Q4,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|235/263",2316-1620,2316-1620,428,30,30,4.5,8.7,261/271
21528,Sravnitelnaya Politika-Comparative Politics,SRAVN POLIT,PUBL GROUP JURIST,<0.1,0.1,<0.1,0.03,Q4,,2221-3279,2412-4990,47,32,32,N/A,8.2,313/322
21528,Swiat i Slowo,SWIAT SLOWO,UNIV BIELSKO-BIALA,<0.1,<0.1,<0.1,0.03,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",1731-3317,N/A,10,43,44,N/A,18.4,N/A
21528,Virtualidad Educacion y Ciencia,VIRTUALIDAD EDUC CIE,"UNIV NACL CORDOBA, CENTRO ESTUDIOS AVANZADOS",<0.1,0.2,<0.1,0.03,Q4,EDUCATION & EDUCATIONAL RESEARCH|Q4|661/756,1853-6530,1853-6530,57,5,6,N/A,8.3,738/756
21528,Western Journal of Legal Studies,WEST J LEG STUD,UNIV WESTERN ONTARIO,<0.1,0.2,<0.1,0.03,Q4,LAW|Q4|316/421,1927-9132,1927-9132,18,4,4,N/A,8.8,412/434
21528,ZEITSCHRIFT FUR SEMIOTIK,Z SEMIOTIK,"STAUFFENBURG VERLAG, BRIGITTE NARR GMBH",<0.1,0.1,<0.1,0.03,N/A,,0170-6241,N/A,27,0,0,N/A,N/A,N/A
21528,Aktualni Gynekologie a Porodnictvi,AKTUALNI GYNEKOL POR,APROFEMA SRO,<0.1,0.1,<0.1,0.02,Q4,OBSTETRICS & GYNECOLOGY|Q4|130/136,1803-9588,1803-9588,6,7,13,N/A,8.7,140/140
21528,Analele Universitatii Bucuresti-Filosofie-Annals of the University of Bucharest-Philosophy,AN U BUCUR-FILOSOFI,EDITURA UNIV BUCURESTI,<0.1,<0.1,<0.1,0.02,N/A,,0068-3175,2537-4044,7,0,0,N/A,N/A,N/A
21528,Archiwa Biblioteki i Muzea Koscielne,ARCH BIBL MUZ KOSC,JOHN PAUL II CATHOLIC UNIV LUBLIN,<0.1,N/A,<0.1,0.02,Q4,RELIGION|N/A|N/A,0518-3766,2545-3491,42,21,21,N/A,29.2,479/538
21528,Balint-Journal,BALINT-J,GEORG THIEME VERLAG KG,<0.1,0.1,<0.1,0.02,Q4,PSYCHIATRY|Q4|275/276,1439-5142,1439-9008,11,7,7,N/A,36.3,286/288
21528,Bangladesh Journal of Otorhinolaryngology,BANGLADESH J OTORHIN,SOC OTORHINOLARYNGOLOGISTS & HEAD NECK SURGEONS BANGLADESH,<0.1,0.1,<0.1,0.02,Q4,OTORHINOLARYNGOLOGY|Q4|65/65,1728-8835,2304-6244,28,6,6,N/A,11.9,67/67
21528,Barataria-Revista Castellano-Manchega de Ciencias Sociales,BARATARIA,ASOC CASTELLANO-MANCHEGA DE SOCIOLOGIA,<0.1,0.1,<0.1,0.02,Q4,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q3|197/263",1575-0825,2172-3184,42,14,14,N/A,7.0,261/271
21528,Boletin de Arte,BOL ARTE-ARGENTINA,"UNIV NAC PLATA, FAC BELLAS ARTES",<0.1,<0.1,<0.1,0.02,N/A,ART|N/A|N/A,2314-2502,2314-2502,1,8,8,N/A,12.0,N/A
21528,Boletin de Pediatria,BOL PEDIATR,EDICIONES ERGON SA,<0.1,0.1,<0.1,0.02,Q4,PEDIATRICS|Q4|184/186,0214-2597,2340-5384,16,11,14,N/A,5.9,190/191
21528,CATTLE PRACTICE,CATTLE PRACT,BRITISH CATTLE VETERINARY ASSOC,<0.1,0.1,<0.1,0.02,Q4,VETERINARY SCIENCES|Q4|158/167,0969-1251,N/A,93,0,0,N/A,N/A,169/170
21528,Cimexus,CIMEXUS,"UNIV MICHOACANA SAN NICOLAS HIDALGO, INST INVESTIGACIONES HISTORICAS",<0.1,0.1,<0.1,0.02,Q4,POLITICAL SCIENCE|Q4|289/317,1870-6479,2007-9206,20,20,20,N/A,12.7,313/322
21528,Cinemas,CINEMAS,"UNIV MONTREAL, PROGRAMMES BIOETHIQUE",<0.1,<0.1,<0.1,0.02,N/A,"FILM, RADIO, TELEVISION|N/A|N/A",1181-6945,1705-6500,54,8,8,N/A,16.3,N/A
21528,Clinical Management Issues,CLIN MANAG ISSUES,SEED MEDICAL PUBLISHERS,<0.1,0.2,<0.1,0.02,Q4,"MEDICINE, GENERAL & INTERNAL|Q3|243/325",1973-4832,2283-3137,16,0,0,N/A,N/A,326/332
21528,digitAR-Revista Digital de Arqueologia Arquitectura e Artes-Digital Journal of Archaeology Architecture and Arts,DIGITAR-REV DIGIT AR,COIMBRA UNIV PRESS,<0.1,<0.1,<0.1,0.02,N/A,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A",2182-844X,2182-844X,2,12,12,N/A,23.1,N/A
